City,Date,Particule,TES,TUV Dose,Dose ratio
Nueva York,2024-01-21,zn,,3452.38031574031,0.809657672546977
Nueva York,2024-02-21,zn,261,4267.834650109799,1.0008993081871012
Nueva York,2024-03-21,zn,198,4273.714328057999,1.0022782195257973
Nueva York,2024-04-21,zn,171,4283.980021188001,1.0046857460572236
Nueva York,2024-05-21,zn,160,4267.038536334001,1.0007126023297377
Nueva York,2024-06-21,zn,158,4277.7999973800015,1.0032363971341467
Nueva York,2024-07-21,zn,161,4272.323587181999,1.0019520607837709
Nueva York,2024-08-21,zn,173,4266.520982892002,1.0005912248808635
Nueva York,2024-09-21,zn,206,4270.2533145341995,1.0014665371796903
Nueva York,2024-10-21,zn,340,4264.64205781824,1.0001505764114071
Nueva York,2024-11-21,zn,,3050.36434155535,0.715376252709979
Nueva York,2024-12-21,zn,,2751.3717521747744,0.6452560394406132
Nueva York,2024-01-21,cu,2,16.561803239999215,1.2739848646153242
Nueva York,2024-02-21,cu,2,21.394461239998986,1.6457277876922296
Nueva York,2024-03-21,cu,2,26.52418556999874,2.04032196692298
Nueva York,2024-04-21,cu,2,30.51681389999855,2.3474472230768115
Nueva York,2024-05-21,cu,2,32.33616749999847,2.487397499999882
Nueva York,2024-06-21,cu,2,32.56358669999845,2.504891284615266
Nueva York,2024-07-21,cu,2,31.796046899998494,2.4458497615383457
Nueva York,2024-08-21,cu,2,29.891411099998578,2.299339315384506
Nueva York,2024-09-21,cu,2,26.417582819998746,2.032121755384519
Nueva York,2024-10-21,cu,2,21.70858400999897,1.6698910776922284
Nueva York,2024-11-21,cu,2,17.002427939999194,1.3078790723076303
Nueva York,2024-12-21,cu,2,14.888850749999293,1.145296211538407
Los Ángeles,2024-01-21,zn,310,4267.137159999,1.0007357317070824
Los Ángeles,2024-02-21,zn,214,4270.7016253314,1.0015716757343807
Los Ángeles,2024-03-21,zn,178,4277.960739234,1.0032740945670733
Los Ángeles,2024-04-21,zn,160,4270.806843534001,1.0015963516730773
Los Ángeles,2024-05-21,zn,154,4271.836062438,1.0018377257124766
Los Ángeles,2024-06-21,zn,153,4274.740602971999,1.0025189031360222
Los Ángeles,2024-07-21,zn,155,4279.398583949999,1.003611300175891
Los Ángeles,2024-08-21,zn,163,4282.837753067999,1.0044178595375233
Los Ángeles,2024-09-21,zn,184,4267.889938242,1.0009122744469983
Los Ángeles,2024-10-21,zn,235,4268.6499587004,1.001090515642683
Los Ángeles,2024-11-21,zn,,3888.6821481203565,0.9119798658818847
Los Ángeles,2024-12-21,zn,,3656.799732676823,0.857598436368861
Los Ángeles,2024-01-21,cu,2,20.37960305999903,1.5676617738460794
Los Ángeles,2024-02-21,cu,2,24.741787589998825,1.9032144299999096
Los Ángeles,2024-03-21,cu,2,29.209153499998614,2.246857961538355
Los Ángeles,2024-04-21,cu,2,32.421449699998455,2.4939576692306504
Los Ángeles,2024-05-21,cu,2,33.61540049999841,2.585800038461416
Los Ángeles,2024-06-21,cu,2,33.6438278999984,2.5879867615383385
Los Ángeles,2024-07-21,cu,2,33.07527989999842,2.5442522999998785
Los Ángeles,2024-08-21,cu,2,31.767619499998492,2.4436630384614224
Los Ángeles,2024-09-21,cu,2,29.06701649999862,2.23592434615374
Los Ángeles,2024-10-21,cu,2,25.028904329998813,1.9253003330768317
Los Ángeles,2024-11-21,cu,2,20.798907209999008,1.599915939230693
Los Ángeles,2024-12-21,cu,2,18.848787569999104,1.4499067361537772
Monterrey,2024-01-21,zn,235,4270.686139944,1.0015680440769232
Monterrey,2024-02-21,zn,190,4269.866120969399,1.0013757319346621
Monterrey,2024-03-21,zn,167,4275.052077114,1.002591950542683
Monterrey,2024-04-21,zn,157,4282.63108497,1.0043693914094747
Monterrey,2024-05-21,zn,155,4287.280822775998,1.0054598552476544
Monterrey,2024-06-21,zn,155,4287.864910392,1.0055968363958723
Monterrey,2024-07-21,zn,155,4280.573824757999,1.003886919502345
Monterrey,2024-08-21,zn,159,4281.050751137998,1.0039987690286112
Monterrey,2024-09-21,zn,173,4270.472995068002,1.0015180570046909
Monterrey,2024-10-21,zn,206,4271.2554487301995,1.0017015592706846
Monterrey,2024-11-21,zn,270,4267.5305359428,1.0008279868533771
Monterrey,2024-12-21,zn,299,4265.739353547,1.0004079159350376
Monterrey,2024-01-21,cu,2,24.27557822999885,1.867352171538373
Monterrey,2024-02-21,cu,2,28.01235995999867,2.1547969199998978
Monterrey,2024-03-21,cu,2,31.568627699998505,2.428355976922962
Monterrey,2024-04-21,cu,2,33.714896399998395,2.593453569230646
Monterrey,2024-05-21,cu,2,34.155521099998374,2.627347776922952
Monterrey,2024-06-21,cu,2,33.89967449999839,2.6076672692306455
Monterrey,2024-07-21,cu,2,33.672255299998405,2.5901734846152618
Monterrey,2024-08-21,cu,2,33.103707299998426,2.546439023076802
Monterrey,2024-09-21,cu,2,31.35542219999851,2.411955553846039
Monterrey,2024-10-21,cu,2,28.17581750999866,2.1673705776922043
Monterrey,2024-11-21,cu,2,24.57833003999883,1.8906407723076022
Monterrey,2024-12-21,cu,2,22.89827069999891,1.7614054384614546
Ciudad de México,2024-01-21,zn,210,4277.323071000001,1.00312454760788
Ciudad de México,2024-02-21,zn,179,4274.221283136001,1.0023971114296437
Ciudad de México,2024-03-21,zn,163,4280.66744364,1.0039088751500937
Ciudad de México,2024-04-21,zn,157,4269.199424994,1.0012193773438085
Ciudad de México,2024-05-21,zn,158,4272.4195612560015,1.0019745687748596
Ciudad de México,2024-06-21,zn,159,4272.605621423999,1.0020182038986865
Ciudad de México,2024-07-21,zn,158,4273.882135488002,1.0023175739887433
Ciudad de México,2024-08-21,zn,159,4273.552408607999,1.0022402459212003
Ciudad de México,2024-09-21,zn,169,4277.619825192,1.0031941428686677
Ciudad de México,2024-10-21,zn,193,4276.914445188,1.0030287160384617
Ciudad de México,2024-11-21,zn,230,4271.4286731018,1.0017421841233114
Ciudad de México,2024-12-21,zn,240,4270.594699614601,1.0015465993467638
Ciudad de México,2024-01-21,cu,2,26.620838729998734,2.047756825384518
Ciudad de México,2024-02-21,cu,2,29.820342599998586,2.293872507692199
Ciudad de México,2024-03-21,cu,2,32.62044149999845,2.5092647307691114
Ciudad de México,2024-04-21,cu,2,33.984956699998385,2.6142274384614144
Ciudad de México,2024-05-21,cu,2,33.842819699998394,2.6032938230767995
Ciudad de México,2024-06-21,cu,2,33.387981299998415,2.568306253846032
Ciudad de México,2024-07-21,cu,2,33.373767599998416,2.5672128923075705
Ciudad de México,2024-08-21,cu,2,33.416408699998414,2.5704929769229548
Ciudad de México,2024-09-21,cu,2,32.407235999998456,2.492864307692189
Ciudad de México,2024-10-21,cu,2,29.93405219999858,2.3026193999998905
Ciudad de México,2024-11-21,cu,2,26.873842589998723,2.0672186607691327
Ciudad de México,2024-12-21,cu,2,25.402724639998794,1.9540557415383688
Cartagena,2024-01-21,zn,176,4266.637859294999,1.0006186349190898
Cartagena,2024-02-21,zn,160,4275.252268434,1.0026388997265478
Cartagena,2024-03-21,zn,154,4287.430966266,1.0054950671355534
Cartagena,2024-04-21,zn,156,4280.884710102002,1.0039598288231713
Cartagena,2024-05-21,zn,161,4264.222315499999,1.0000521377814258
Cartagena,2024-06-21,zn,163,4264.2317362680005,1.0000543471547845
Cartagena,2024-07-21,zn,160,4274.762388497999,1.0025240123119135
Cartagena,2024-08-21,zn,157,4279.816630529999,1.0037093411186677
Cartagena,2024-09-21,zn,161,4278.973471793999,1.0035116022030954
Cartagena,2024-10-21,zn,175,4280.1371132814,1.0037845012386022
Cartagena,2024-11-21,zn,192,4266.377257300201,1.0005575181285649
Cartagena,2024-12-21,zn,193,4271.147463177,1.0016762343285646
Cartagena,2024-01-21,cu,2,32.122961999998466,2.470997076922959
Cartagena,2024-02-21,cu,2,34.45400879999836,2.6503083692306433
Cartagena,2024-03-21,cu,2,35.93223359999829,2.764017969230638
Cartagena,2024-04-21,cu,2,35.84695139999829,2.7574577999998686
Cartagena,2024-05-21,cu,2,34.79513759999835,2.676549046153719
Cartagena,2024-06-21,cu,2,34.14130739999838,2.626254415384491
Cartagena,2024-07-21,cu,2,34.53929099999836,2.656868538461412
Cartagena,2024-08-21,cu,2,35.39211299999832,2.7224702307691016
Cartagena,2024-09-21,cu,2,35.36368559999832,2.7202835076921783
Cartagena,2024-10-21,cu,2,33.885460799998384,2.6065739076921832
Cartagena,2024-11-21,cu,2,31.781833199998495,2.4447563999998843
Cartagena,2024-12-21,cu,2,30.92901119999853,2.379154707692195
Medellín,2024-01-21,zn,172,4271.041773936,1.0016514479212009
Medellín,2024-02-21,zn,159,4275.5884720919985,1.0027177467382735
Medellín,2024-03-21,zn,155,4267.849899977999,1.0009028846102248
Medellín,2024-04-21,zn,161,4276.406901312,1.0029096860487805
Medellín,2024-05-21,zn,170,4278.51244296,1.0034034809943715
Medellín,2024-06-21,zn,173,4277.741117580001,1.003222588550657
Medellín,2024-07-21,zn,168,4278.689671157999,1.0034450448306753
Medellín,2024-08-21,zn,162,4277.923056162002,1.0032652570736402
Medellín,2024-09-21,zn,163,4276.0076962680005,1.0028160638527206
Medellín,2024-10-21,zn,173,4267.813276742401,1.000894295671295
Medellín,2024-11-21,zn,187,4275.5945955912,1.002719182830957
Medellín,2024-12-21,zn,186,4267.530123784201,1.000827890193293
Medellín,2024-01-21,cu,2,32.80521959999844,2.5234784307691105
Medellín,2024-02-21,cu,2,34.738282799998345,2.6721755999998726
Medellín,2024-03-21,cu,2,35.719028099998305,2.7476175461537156
Medellín,2024-04-21,cu,2,35.107838999998336,2.700602999999872
Medellín,2024-05-21,cu,2,33.686468999998404,2.591266846153723
Medellín,2024-06-21,cu,2,32.89050179999844,2.53003859999988
Medellín,2024-07-21,cu,2,33.430622399998406,2.5715863384614157
Medellín,2024-08-21,cu,2,34.681427999998355,2.6678021538460275
Medellín,2024-09-21,cu,2,35.16469379999833,2.704976446153718
Medellín,2024-10-21,cu,2,34.19816219999838,2.6306278615383367
Medellín,2024-11-21,cu,2,32.49251819999846,2.4994244769229583
Medellín,2024-12-21,cu,2,31.75340579999849,2.4425696769229606
Rosario,2024-01-21,zn,144,4282.354349909998,1.0043044910670726
Rosario,2024-02-21,zn,154,4276.755469728001,1.0029914328630396
Rosario,2024-03-21,zn,177,4280.4931594320005,1.0038680017429644
Rosario,2024-04-21,zn,227,4270.276277656199,1.0014719225272513
Rosario,2024-05-21,zn,,4168.544147384674,0.9776135430076628
Rosario,2024-06-21,zn,,3791.713170079217,0.8892385483300227
Rosario,2024-07-21,zn,336,4264.047736893001,1.000011195331379
Rosario,2024-08-21,zn,227,4275.2396092769995,1.0026359308810975
Rosario,2024-09-21,zn,181,4284.133108668,1.0047216483742964
Rosario,2024-10-21,zn,157,4277.8317924719995,1.0032438537692308
Rosario,2024-11-21,zn,146,4291.509570011999,1.0064515877138835
Rosario,2024-12-21,zn,142,4281.484106466001,1.004100400203096
Rosario,2024-01-21,cu,2,34.92306089999834,2.686389299999872
Rosario,2024-02-21,cu,2,32.52094559999845,2.5016111999998807
Rosario,2024-03-21,cu,2,28.868024699998625,2.2206172846152787
Rosario,2024-04-21,cu,2,23.99556833999886,1.8458129492306816
Rosario,2024-05-21,cu,2,19.830954239999063,1.5254580184614663
Rosario,2024-06-21,cu,2,17.950481729999147,1.3808062869230113
Rosario,2024-07-21,cu,2,19.394593649999077,1.4918918192306982
Rosario,2024-08-21,cu,2,23.698502009998876,1.8229616930768366
Rosario,2024-09-21,cu,2,29.03858909999862,2.233737623076817
Rosario,2024-10-21,cu,2,33.245844299998424,2.557372638461417
Rosario,2024-11-21,cu,2,35.54846369999831,2.7344972076921774
Rosario,2024-12-21,cu,2,35.91801989999829,2.7629246076921765
Santiago de Chile,2024-01-21,zn,147,4288.868222184003,1.0058321346585373
Santiago de Chile,2024-02-21,zn,158,4284.245569086002,1.0047480227687624
Santiago de Chile,2024-03-21,zn,184,4271.746565142001,1.0018167366655724
Santiago de Chile,2024-04-21,zn,252,4273.199012048401,1.0021573668030959
Santiago de Chile,2024-05-21,zn,,3652.523717757117,0.8565956186109561
Santiago de Chile,2024-06-21,zn,,3309.222405021114,0.7760840537103926
Santiago de Chile,2024-07-21,zn,,3798.2240704172486,0.8907654949383791
Santiago de Chile,2024-08-21,zn,249,4271.630100897599,1.0017894232874294
Santiago de Chile,2024-09-21,zn,190,4275.2346633738,1.0026347709600845
Santiago de Chile,2024-10-21,zn,163,4277.12582367,1.0030782888531895
Santiago de Chile,2024-11-21,zn,150,4282.2454222800025,1.0042789451876177
Santiago de Chile,2024-12-21,zn,145,4276.68422517,1.0029747244770169
Santiago de Chile,2024-01-21,cu,2,35.15048009999833,2.7038830846152564
Santiago de Chile,2024-02-21,cu,2,32.76257849999845,2.5201983461537267
Santiago de Chile,2024-03-21,cu,2,28.953306899998623,2.227177453846048
Santiago de Chile,2024-04-21,cu,2,23.904600659998867,1.8388154353845283
Santiago de Chile,2024-05-21,cu,2,19.653282989999067,1.5117909992306975
Santiago de Chile,2024-06-21,cu,2,17.806923359999153,1.3697633353845502
Santiago de Chile,2024-07-21,cu,2,19.33205336999908,1.4870810284614677
Santiago de Chile,2024-08-21,cu,2,23.672917349998876,1.8209936423076059
Santiago de Chile,2024-09-21,cu,2,28.96752059999862,2.228270815384509
Santiago de Chile,2024-10-21,cu,2,33.14634839999842,2.5497191076921863
Santiago de Chile,2024-11-21,cu,2,35.50582259999832,2.7312171230767937
Santiago de Chile,2024-12-21,cu,2,36.031729499998285,2.771671499999868
Londres,2024-01-21,zn,,1443.2560535174705,0.33847468422079513
Londres,2024-02-21,zn,,2702.832328036337,0.6338724971942629
Londres,2024-03-21,zn,,4210.629276501706,0.987483413813721
Londres,2024-04-21,zn,216,4275.981200358001,1.0028098499901503
Londres,2024-05-21,zn,188,4273.582201786801,1.0022472330644467
Londres,2024-06-21,zn,180,4268.512886526001,1.0010583692603192
Londres,2024-07-21,zn,187,4273.9184054448,1.0023260800761726
Londres,2024-08-21,zn,219,4274.1544545629995,1.0023814386873826
Londres,2024-09-21,zn,,3856.11163383521,0.9043413775410905
Londres,2024-10-21,zn,,2231.0320740764364,0.5232251580854682
Londres,2024-11-21,zn,,1197.3886128673178,0.28081346455612516
Londres,2024-12-21,zn,,946.9723040305693,0.22208543715538678
Londres,2024-01-21,cu,3,21.58040987999921,1.6600315292307084
Londres,2024-02-21,cu,2,16.64708543999921,1.280545033846093
Londres,2024-03-21,cu,2,22.518764909998932,1.7322126853845332
Londres,2024-04-21,cu,2,27.4111204499987,2.1085477269229767
Londres,2024-05-21,cu,2,30.019334399998577,2.30917956923066
Londres,2024-06-21,cu,2,30.75844679999854,2.366034369230657
Londres,2024-07-21,cu,2,29.791915199998588,2.291685784615276
Londres,2024-08-21,cu,2,26.947753829998717,2.072904140769132
Londres,2024-09-21,cu,2,22.10088212999895,1.7000678561537654
Londres,2024-10-21,cu,2,16.214988959999232,1.247306843076864
Londres,2024-11-21,cu,3,21.199984379999222,1.6307680292307094
Londres,2024-12-21,cu,3,17.325998639999362,1.332769126153797
Zúrich,2024-01-21,zn,,2751.35759125334,0.645252718399001
Zúrich,2024-02-21,zn,345,4266.053241760801,1.0004815294936213
Zúrich,2024-03-21,zn,224,4275.193918552201,1.0026252154203097
Zúrich,2024-04-21,zn,184,4279.629392766,1.0036654298231706
Zúrich,2024-05-21,zn,169,4283.171601534001,1.00449615420591
Zúrich,2024-06-21,zn,165,4270.642568892002,1.0015578257251412
Zúrich,2024-07-21,zn,170,4273.6083444179985,1.0022533640755156
Zúrich,2024-08-21,zn,187,4276.5087633660005,1.0029335748982178
Zúrich,2024-09-21,zn,231,4271.801617755001,1.0018296476911352
Zúrich,2024-10-21,zn,,3884.684021253995,0.9110422188681977
Zúrich,2024-11-21,zn,,2472.74700181296,0.5799125238773358
Zúrich,2024-12-21,zn,,2070.9549633464044,0.4856836217979372
Zúrich,2024-01-21,cu,3,22.397363189999176,1.7228740915383982
Zúrich,2024-02-21,cu,2,16.661299139999212,1.2816383953845547
Zúrich,2024-03-21,cu,2,22.461910109998932,1.7278392392306872
Zúrich,2024-04-21,cu,2,27.342894689998705,2.103299591538362
Zúrich,2024-05-21,cu,2,29.806128899998587,2.2927791461537375
Zúrich,2024-06-21,cu,2,30.246753599998563,2.326673353846043
Zúrich,2024-07-21,cu,2,29.209153499998614,2.246857961538355
Zúrich,2024-08-21,cu,2,26.738812439998732,2.0568317261537485
Zúrich,2024-09-21,cu,2,22.638159989998925,1.7413969223076096
Zúrich,2024-10-21,cu,2,17.42031071999917,1.3400239015383977
Zúrich,2024-11-21,cu,3,23.92625564999912,1.8404812038460863
Zúrich,2024-12-21,cu,3,19.29493052999929,1.4842254253845608
Mumbai,2024-01-21,zn,231,4273.461086038201,1.0022188288082086
Mumbai,2024-02-21,zn,189,4270.973591127598,1.0016354575815194
Mumbai,2024-03-21,zn,171,4281.690774564002,1.0041488683311448
Mumbai,2024-04-21,zn,165,4273.694308926,1.002273524607411
Mumbai,2024-05-21,zn,166,4274.672891202,1.0025030232650094
Mumbai,2024-06-21,zn,166,4266.930197502001,1.0006871945361164
Mumbai,2024-07-21,zn,165,4280.16696534,1.0037915021904316
Mumbai,2024-08-21,zn,166,4266.774166032001,1.0006506017898689
Mumbai,2024-09-21,zn,180,4279.237959855601,1.0035736303601315
Mumbai,2024-10-21,zn,214,4269.767379544801,1.0013525749401504
Mumbai,2024-11-21,zn,,4248.9200717084095,0.9964634314513156
Mumbai,2024-12-21,zn,,4222.729581788455,0.9903211964794688
Mumbai,2024-01-21,cu,2,27.085626719998714,2.083509747692209
Mumbai,2024-02-21,cu,2,30.303608399998563,2.3310467999998896
Mumbai,2024-03-21,cu,2,32.97578399999843,2.536598769230648
Mumbai,2024-04-21,cu,2,34.14130739999838,2.626254415384491
Mumbai,2024-05-21,cu,2,33.94231559999839,2.6109473538460297
Mumbai,2024-06-21,cu,2,33.544331999998406,2.5803332307691083
Mumbai,2024-07-21,cu,2,33.6296141999984,2.586893399999877
Mumbai,2024-08-21,cu,2,33.6580415999984,2.5890801230768
Mumbai,2024-09-21,cu,2,32.549372999998454,2.503797923076804
Mumbai,2024-10-21,cu,2,29.976693299998576,2.305899484615275
Mumbai,2024-11-21,cu,2,26.952017939998722,2.073232149230671
Mumbai,2024-12-21,cu,2,25.674206309998784,1.9749389469229834
Shanghái,2024-01-21,zn,,3409.8675399114727,0.7996875093601015
Shanghái,2024-02-21,zn,262,4265.4824609796015,1.0003476690852724
Shanghái,2024-03-21,zn,199,4278.9333157704,1.0035021847491559
Shanghái,2024-04-21,zn,177,4277.916343864801,1.0032636828951222
Shanghái,2024-05-21,zn,169,4267.351188072,1.0007859259080676
Shanghái,2024-06-21,zn,167,4283.024990831998,1.0044617708330204
Shanghái,2024-07-21,zn,168,4281.537098285999,1.004112827928236
Shanghái,2024-08-21,zn,178,4273.0844908374,1.0021305091082082
Shanghái,2024-09-21,zn,214,4267.8978281352,1.0009141247971858
Shanghái,2024-10-21,zn,,3800.527628394786,0.891305728985644
Shanghái,2024-11-21,zn,,2937.162844166394,0.6888280591384601
Shanghái,2024-12-21,zn,,2800.0182410851116,0.6566646906860018
Shanghái,2024-01-21,cu,2,21.91752539999896,1.6859634923076123
Shanghái,2024-02-21,cu,2,26.200113209998754,2.015393323846058
Shanghái,2024-03-21,cu,2,30.189898799998566,2.3222999076921975
Shanghái,2024-04-21,cu,2,32.83364699999844,2.525665153846034
Shanghái,2024-05-21,cu,2,33.7433237999984,2.595640292307569
Shanghái,2024-06-21,cu,2,33.82860599999839,2.6022004615383376
Shanghái,2024-07-21,cu,2,33.51590459999841,2.578146507692185
Shanghái,2024-08-21,cu,2,32.407235999998456,2.492864307692189
Shanghái,2024-09-21,cu,2,29.70663299999859,2.2851256153845068
Shanghái,2024-10-21,cu,2,25.664256719998782,1.9741735938460603
Shanghái,2024-11-21,cu,2,21.62472317999897,1.6634402446153054
Shanghái,2024-12-21,cu,2,20.06974439999905,1.5438264923076193
